Entités intégrées;Adresse;Mode d'intégration;Date de clôture;Pourcentage de capital détenu;
;;;;;
A - Mandataire(s) (association de financement ou mandataire financier personne physique);;;;;
AFIR (AFEMA);68 rue du Rocher, 75008 Paris;Intégration Globale;31/12/2022;n.a;
B - Entités concernées;;;;;
;;;;;
Pour Une Renaissance Européenne Vaucluse;2188 route de Pertuis, 84460 Cheval-Blanc;Intégration Globale;31/12/2022;n.a;
 Pour Une Renaissance Européenne Ille-et-Vilaine;2 square du Luxembourg, 35200 Rennes;Intégration Globale;31/12/2022;n.a;
 Pour Une Renaissance Européenne Nord (59);103 rue jean jaures, 59370 Mons-en-Baroeul;Intégration Globale;31/12/2022;n.a;
 Pour Une Renaissance Européenne Paris;203 rue d'alesia 75014 Paris;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Allemagne;1 villa du roi henri IV 92370 Chaville;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Alpes-Maritmes;15 traverse des magnans 06370 Mouans-Sartoux;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Benelux;158 route de grasse 06740 Châteauneuf-Grasse;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Bouches-Du-Rhône;9 rue montgrand 13006 marseille;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Corse;9 rue rossi 20000 Ajaccio;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Côte-D'Or;2 petite rue 21190 Puligny-Montrachet;Intégration Globale;31/12/2022;n.a;
Pour Une Renaissance Européenne Drôme;26 rue des stades 26800 Beauvallon;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Essonne;18 rue chamberlin 91600 Savigny-sur-Orge;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Europeenne Gironde;152 rue du palais gallien 33000 Bordeaux;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Haute-Garonne;1195 route de lavaur 31380 Azas;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Hauts-De-Seine;4 rue blanchard 92260 Fontenay-aux-roses;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Hérault;22 rue de la benovie 34270 Fontanès;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Hérault (Bis);22 rue de la benovie 34270 Fontanès;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Isère;26 boulevard marechal foch 38000 Grenoble;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Loire;6 route de civens 42110 Feurs;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Loire-Atlantique;34 rue lamoriciere 44150 Ancenis-Saint-Géréon;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Loire-Atlantique (Bis);34 rue lamoriciere 44150 Ancenis-Saint-Géréon;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Loiret;35 route de chicamour 45260 Châtenoy;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Maine-Et-Loire;15 quai du marronnier 49400 Saumur;Intégration Globale;31/12/2022;n.a;
Pour Une Renaissance Européenne Marne;65 rue du jard 51100 Reims;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Oise;13 avenue de chantilly 60300 Senlis;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Pas-De-Calais;4 le tap cul 62179 Escalles;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Puy-De-Dôme;26 bis rue bernard brunhes 63100 Clermont-ferrand;Intégration Globale;31/12/2022;n.a;
Pour Une Renaissance Europeenne Pyrénées-Atlantiques;1 b place georges clemenceau 64200 Biarritz;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Europeenne Rhone;173 rue la fayette 75010 Paris;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Saone-Et-Loire;1 lotissement du moulin 71530 Sassenay;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Sarthe;29 rue de l'herberie 72000 Mans;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Seine-Et-Marne;17 bis avenue du marechal foch 77500 Chelles;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Seine-Maritime;49 rue verte 76000 Rouen;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Seine-Saint-Denis;120 boulevard victor hugo 93400 Saint-Ouen-sur-Seine;Intégration Globale;31/12/2022;n.a;
Pour Une Renaissance Européenne Tarn;271 chemin de gouty 81340 Assac;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Tarn-Et-Garonne;604 rue de la seyne 82410 Saint-Etienne-de-Tulmont;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Val-De-Marne;3 rue de la maison rouge 94120 Fontenay-sous-bois;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Var;351 chemin du moulin de re 83640 Saint-Zacharie;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Vendée;1 la basse martiniere 85500 Herbiers;Non applicable;31/12/2022;n.a;
Pour Une Renaissance Européenne Vienne;41 rue du capitaine dreyf 86000 Poitiers;Non applicable;31/12/2022;n.a;
Pour une Renaissance européenne Côte d'Armor;Route de Lestreuze, 22300 Lannion;Intégration Globale;31/12/2022;n.a;
Pour Une Renaissance Européenne Doubs;3 rue Grenier, 25000 Besançon;Intégration Globale;31/12/2022;n.a;
 Pour Une Renaissance Européenne Morbihan;5 rue Louis Davis, 56000 Vannes;Intégration Globale;31/12/2022;n.a;
Egalité ensemble;37 rue de Talleyrand, 51100 Reims;Intégration Globale;31/12/2022;n.a;
Je m'engage pour l'école;34 rue du docteur Blanche, 75781 Paris Cedex 16;Intégration Globale;31/12/2022;n.a;
ASR PACA;15 parc Beauregard, Avenue de Beauregard, 13100 Aix-en-provence;Intégration Globale;31/12/2022;n.a;
ASR Normandie;21 rue de la Folie, 14280 Saint-Contest;Intégration Globale;31/12/2022;n.a;
ASR PDL;17 RUE Etienne Destranges, 44200 Nantes;Intégration Globale;31/12/2022;n.a;
ASR IDF;63 RUE Sainte Anne,75002 Paris;Intégration Globale;31/12/2022;n.a;
ASR HDF;68 RUE DES Tanneurs, 59000 Lille;Intégration Globale;31/12/2022;n.a;
ASR AURA;254 rue Vendöme, 69003 Lyon;Intégration Globale;31/12/2022;n.a;
ASR Occitanie;12 rue du sou, 11100 Narbonne;Non applicable;31/12/2022;n.a;
Pour une renaissance européenne Savoie;18 rue des Tilleuls 73000 Barberaz;Non applicable;31/12/2022;n.a;
;;;;;
Référent Ain;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Aisne;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Allier;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Alpes-de-Haute-Provence;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Hautes-Alpes;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Alpes-Maritimes;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Ardèche;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
Référent Ardennes;68 rue du Rocher, 75008 Paris;Non applicable;31/12/2022;n.a;
